Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C13, C2, C3, C4, C7",0603,6,0.1u,C14663
C16,0805,1,10u,C440198
C17,0603,1,22u,C59461
"C18, C19",0603,2,C_22p,C1653
"J1, J4, J5",PinHeader_1x02_P2.54mm_Vertical,3,Conn_01x02_Pin,
"J10, J7, J8, J9",JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,4,STEMMA_QT,
"J11, J6",JST_BM08B-GHS-TBT_LF__SN__N_,2,JST_BM08B-GHS-TBT,C133062
J2,PinSocket_2x20_P2.54mm_Horizontal,1,Conn_02x20_Odd_Even,
J3,JST_XH_B4B-XH-AM_1x04_P2.50mm_Vertical,1,Conn_01x04_Pin,
"R1, R2, R3",0603,3,R_10k,C25804
"R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28",0603,19,0R,C21189
TP10,TestPoint_Pad_D1.0mm,1,TXCAN,
TP12,TestPoint_Pad_D1.0mm,1,CANL,
TP13,TestPoint_Pad_D1.0mm,1,CANH,
TP9,TestPoint_Pad_D1.0mm,1,RXCAN,
"U1, U2",GC9A_Display,2,GC9A,
U5,TSSOP-20_4.4x6.5mm_P0.65mm,1,MCP2515T-I/ST,C185941
U6,SOIC-8_3.9x4.9mm_P1.27mm,1,SN65HVD233,C61643
U7,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
Y2,ABM3,1,ABM3-8.000MHZ-D2Y-T,C144380
