Designator,Mid X,Mid Y,Rotation,Layer
C1,119.65,27.2,270.0,top
C13,95.9,17.7,270.0,top
C16,20.32,4.979,270.0,top
C17,20.511,9.538,90.0,top
C18,107.41046,16.81118,0.0,top
C19,107.41046,8.81118,0.0,top
C2,121.15,27.2,270.0,top
C3,3.9,13.95,90.0,top
C4,2.4,13.95,90.0,top
C7,93.4,11.45,0.0,top
H1,0.0,0.0,0.0,top
H2,0.0,38.85,0.0,top
H3,123.4,38.85,0.0,top
H4,123.422518,0.0,0.0,top
H5,45.6,21.95,0.0,top
H6,45.6,8.525,0.0,top
H7,78.05,21.95,0.0,top
H8,78.05,8.525,0.0,top
J1,113.05,0.455,0.0,bottom
J10,17.077416,24.384,270.0,bottom
J11,9.2825,34.29,90.0,bottom
J2,76.518,38.93,90.0,bottom
J3,10.075,6.9875,0.0,bottom
J4,117.65,0.455,0.0,bottom
J5,5.715,0.254,0.0,top
J6,114.1615,34.29,270.0,bottom
J7,37.215416,24.384,270.0,bottom
J8,30.502749,24.384,270.0,bottom
J9,23.790083,24.384,270.0,bottom
R1,98.9,0.95,90.0,top
R10,91.0,12.4,90.0,top
R11,97.425,9.725,90.0,top
R12,89.726,-1.384,0.0,top
R13,89.726,0.14,0.0,top
R14,98.4128,21.3236,90.0,top
R15,100.11046,21.41118,90.0,top
R16,101.7148,21.413,90.0,top
R17,103.31046,21.41118,90.0,top
R18,92.2406,16.142,0.0,top
R19,120.0,22.75,180.0,top
R2,89.5,5.025,270.0,top
R20,120.0,20.55,180.0,top
R21,119.95,15.85,180.0,top
R22,119.95,18.15,180.0,top
R23,119.9,13.05,180.0,top
R24,3.45,18.1,0.0,top
R25,3.4,20.6632,0.0,top
R26,3.4,23.2,0.0,top
R27,3.35,25.7432,0.0,top
R28,3.35,28.3,0.0,top
R3,95.8474,20.4092,0.0,top
TP10,100.4,9.7,0.0,top
TP12,99.9,4.7,0.0,top
TP13,95.65,1.45,0.0,top
TP9,87.9,13.2,0.0,top
U1,123.7,20.72,180.0,top
U2,-0.2,20.68,0.0,top
U5,100.33546,15.34868,0.0,top
U6,93.2,6.8,180.0,top
U7,25.8,8.4,180.0,top
Y2,106.41046,12.81118,90.0,top
