Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,0.1u,C14663
C3,0805,1,10u,C440198
C4,0603,1,22u,C59461
D8,0805,1,LED,C2297
H2,MountingHole_2.7mm_M2.5_DIN965_Pad,1,PGND,
H5,MountingHole_2.7mm_M2.5_DIN965_Pad,1,5V,
H6,MountingHole_2.7mm_M2.5_DIN965_Pad,1,EXTRA,
H9,MountingHole_2.7mm_M2.5_DIN965_Pad,1,BKBM,
J1,PinHeader_2x09_P2.54mm_Vertical,1,Conn_02x09_Counter_Clockwise,
"J6, J7",JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,2,STEMMA_QT,
"R1, R2",0603,2,R_10k,C25804
"R3, R4, R5, R6",0603,4,0R,C21189
R7,0603,1,2k,C22975
TP1,TestPoint_Pad_D1.0mm,1,5V,
TP2,TestPoint_Pad_D1.0mm,1,3v3,
TP3,TestPoint_Pad_D1.0mm,1,GND,
TP4,TestPoint_Pad_D1.0mm,1,SCL,
TP5,TestPoint_Pad_D1.0mm,1,SDA,
U1,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U2,PQFN50P250X300X86-14N,1,LSM6DSOX,C2655100
