Designator,Mid X,Mid Y,Rotation,Layer
C1,154.3812,-108.8136,0.0,top
C2,150.0632,-110.6932,270.0,top
C3,131.3184,-126.6952,0.0,top
C4,127.7616,-120.6955,90.0,top
D8,195.199,-126.619,180.0,top
H2,195.366318,-120.391263,0.0,top
H5,123.19,-124.692681,0.0,top
H6,107.736318,-124.692681,0.0,top
H9,107.736318,-107.648681,0.0,top
J1,178.2572,-123.5964,90.0,top
J6,196.2404,-111.0996,270.0,top
J7,183.134,-111.0996,90.0,bottom
R1,147.1676,-106.172,0.0,top
R2,153.162,-104.902,180.0,top
R3,191.262,-112.903,0.0,top
R4,191.262,-111.3028,0.0,top
R5,177.8,-107.061,0.0,top
R6,177.8,-108.585,0.0,top
R7,191.897,-126.873,0.0,top
TP1,125.603,-110.871,0.0,bottom
TP2,132.207,-110.871,0.0,bottom
TP3,129.032,-110.871,0.0,bottom
TP4,172.085,-110.617,0.0,bottom
TP5,173.609,-105.41,0.0,bottom
U1,133.1976,-121.92,180.0,top
U2,151.043318,-107.542688,0.0,top
